substance,ε/(kB*K),σ/Å
"*|13butadiene",337.6,4.89
"1-butene|but-1-ene|1butene",319,5.2
"*|1butyne",343,4.85
"*|1pentene",369.8,5.35
"*|22dimethylbutane",389.1,5.75
"*|23dimethylbutane",397.5,5.74
"*|3methylpentane",401.81,5.75
"acetone|2-propanone",519,4.67
"*|acetylene",244.8,3.91
"ammonia|azane",386,2.957
"argon",143.2,3.35
"benzene|benzol",412.3,5.35
"butane|n-butane|r600",280.51,5.73
"undecane|n-undecane|c11",445.75,7.81
"dodecane|n-dodecane|c12",522.592,7.36
"*|c16",810.8,7.77
"*|c1cc6",281.1,5.94
"*|c22",515.83,10.62
"cis-2-butene|c2butene",259,5.51
"*|c3cc6",500.91,6.36
"*|c4f10",179,6.94
"*|c5f12",195,7.36
"*|c6f14",160,8.05
"trifluoromethyl iodide|trifluoroiodomethane|r13t1|cf3i",314.8,4.93
"*|chlorine",257,4.4
"*|chlorobenzene",502.1,5.47
"formaldehyde|formalin|methanal|paraformaldehyde|co",103.697,3.61
"carbon dioxide|carbonic anhydride|dry ice|co2",251.196,3.75
"carbonyl sulfide|carbon oxysulfide|carbonyl sulphide|carbon oxide sulfide|cos",335,4.13
"*|cyclobutene",355.8,4.68
"cyclohexane|cyclohex",297.1,6.18
"cyclopentane|cyclopen",406.33,5.18
"cyclopropane|trimethylene|cyclopro",248.9,4.81
"deuterium|dideuterium|d2",39.3,2.95
"deuterium oxide|d2o",809.1,2.64
"octamethylcyclotetrasiloxane|d4",465.7,7.98
"decamethylcyclopentasiloxane|d5",491,8.64
"dodecamethylcyclohexasiloxane|d6",512.8,9.45
"*|dea",584.85,5.43
"decane",490.51,6.86
"diethyl ether|ether|ethyl ether|ethoxyethane|dee",370.6,5.3
"dimethyl carbonate|dmc",442.309,5.11
"dimethyl ether|methoxymethane|methyl ether|dme",317.937,4.31
"ethylbenzene|ebenzene",490.05,5.78
"*|eglycol",570.95,4.48
"ethane",245,4.37
"ethanol|ethyl alcohol|alcohol",362.6,4.53
"ethylene|ethene|acetene|elayl|olefiant gas",224.7,4.16
"oxirane|ethylene oxide|ethyleneoxide",372.37,4.2
"fluorine",112.6,3.36
"hydrogen sulfide|sulfane|hydrosulfuric acid|dihydrogen monosulfide|stink damp|hydrogen sulphide|dihydrogen sulfide|sulfureted hydrogen|h2s",296.28,3.73
"hydrochloric acid|hydrogen chloride|hcl",257.8,3.55
"helium",10.22,2.55
"heptane|n-heptane",400,6.49
"hexane|n-hexane",399.3,5.95
"hydrogen",59.7,2.83
"isobutylene|isobutene|2-methylprop-1-ene|2-methylpropene|ibutene",425,4.78
"2-methylpentane|isohexane|ihexane",395.2,5.8
"*|ioctane",431.99,6.3
"isopentane|2-methylbutane|ipentane",365.56,5.45
"isobutane|2-methylpropane|isobutan",418,5.0922
"krypton",178.9,3.65
"decamethyltetrasiloxane|md2m",476,8.49
"dodecamethylpentasiloxane|md3m",499.5,9.11
"tetradecamethylhexasiloxane|md4m",518.7,9.76
"octamethyltrisiloxane|mdm",447.94,7.7
"*|mea",533.15,4.61
"methane|methyl hydride|marsh gas|biogas|fire damp",174,3.67
"methanol|methyl alcohol",481.8,3.63
"*|milprf23699",738.5055,10.64427
"methyl linoleate|mlinolea",634.5,8.7
"methyl linolenate|mlinolen",613.04,8.55
"hexamethyldisiloxane|mm",357,7.19
"methyl oleate|moleate",621,8.7
"methyl palmitate|methyl hexadecanoate|mpalmita",599.54,8.39
"methyl stearate|mstearat",615.42,8.74
"m-xylene|mxylene",489.87,5.8
"nitrous oxide|laughing gas|dinitrogen oxide|dinitrogen monoxide|factitious air|nitrogen protoxide|nitrogen oxide (n2o)|n2o",232.4,3.83
"neon",45.58,2.71
"neopentane|2,2-dimethylpropane|neopentn",255.65,6.46
"*|nf3",175,4.15
"nitrogen",100.017,3.65
"nonane|n-nonane",472.127,6.64
"3-pentanone, 1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-|novec649",350.8,6.51
"octane|n-octane",452.09,6.36
"*|orthohyd",0,0.0
"oxygen",116.2,3.43
"o-xylene|1,2-dimethylbenzene|1,2-xylene|oxylene",500.48,5.82
"*|parahyd",59.7,2.83
"pentane|n-pentane",349.44,5.79
"*|poe5",706.7418,9.838
"*|poe7",746.4464,10.87188
"*|poe9",770.2692,11.87703
"*|propadiene",316,4.48
"propane|n-propane|dimethylmethane|r290",263.88,4.97
"propylene|propene|prop-1-ene|1-propene|methylethylene|methylethene|propylen",298.9,4.68
"*|propyleneoxide",387.6,4.68
"propyne|methylacetylene|prop-1-yne",251.8,4.76
"p-xylene|1,4-dimethylbenzene|para-xylene|pxylene",489.3,5.81
"trichlorofluoromethane|fluorotrichloromethane|rmf|r11",363.609,5.45
"*|r1123",263.4,4.45
