Clapeyron Database File,,,,,
ChapmanEnskog Like Parameters,,,,,
species,Mw,epsilon,sigma,source
argon,39.9,93.3,3.542,978-0-07-011682-5
helium~|~helium-4,4.002999999999999,10.22,2.551,978-0-07-011682-5
krypton,83.8,178.9,3.655,978-0-07-011682-5
neon,20.18,32.8,2.82,978-0-07-011682-5
xenon,131.29,231.0,4.047,978-0-07-011682-5
air,28.96,78.6,3.711,978-0-07-011682-5
arsine,77.946,259.8,4.145,978-0-07-011682-5
boron trichloride,117.2,337.7,5.127,978-0-07-011682-5
boron trifluoride,67.81,186.3,4.198,978-0-07-011682-5
trimethyl borate~|~boric acid trimethyl ester,103.92,396.7,5.503,978-0-07-011682-5
bromine,159.81,507.9,4.296,978-0-07-011682-5
ccl4~|~tetrachloromethane~|~carbon tetrachloride,153.79999999999998,322.7,5.947,978-0-07-011682-5
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,88.004,134.0,4.662,978-0-07-011682-5
chcl3~|~chloroform~|~trichloromethane,119.37,340.2,5.389,978-0-07-011682-5
ch2cl2~|~dichloromethane,84.93,356.3,4.898,978-0-07-011682-5
ch3br~|~r40b1~|~bromomethane~|~methyl bromide,94.94,449.2,4.118,978-0-07-011682-5
r40~|~chloromethane~|~methyl chloride,50.49,350.0,4.182,978-0-07-011682-5
methanol,32.042,481.8,3.626,978-0-07-011682-5
methane,16.043000000000003,148.6,3.758,978-0-07-011682-5
methanal~|~formaldehyde,30.026,91.7,3.69,978-0-07-011682-5
carbonyl sulfide,60.08,336.0,4.13,978-0-07-011682-5
carbon dioxide,44.009,195.2,3.941,978-0-07-011682-5
cs2~|~carbon disulfide,76.14999999999999,467.0,4.483,978-0-07-011682-5
ethine~|~ethyne~|~acetylene,26.04,231.8,4.033,978-0-07-011682-5
ethene~|~ethylene~|~1-ethylene,28.049999999999997,224.7,4.163,978-0-07-011682-5
ethane,30.07,215.7,4.443,978-0-07-011682-5
chloroethane~|~ethyl chloride,64.50999999999999,300.0,4.898,978-0-07-011682-5
ethanol,46.07,362.6,4.53,978-0-07-011682-5
cyanogen~|~ethanedinitrile,52.03,348.6,4.361,978-0-07-011682-5
dimethyl ether,46.07,395.0,4.307,978-0-07-011682-5
propene~|~propylene,42.08,298.9,4.678,978-0-07-011682-5
propyne~|~1-propyne~|~methylacetylene,40.059999999999995,251.8,4.761,978-0-07-011682-5
cyclopropane,42.08,248.9,4.807,978-0-07-011682-5
propane~|~n-propane,44.1,237.1,5.118,978-0-07-011682-5
propanol~|~1-propanol~|~propan-1-ol,60.1,576.7,4.549,978-0-07-011682-5
acetone~|~propanone,58.08,560.2,4.6,978-0-07-011682-5
methylacetate~|~methyl ethanoate,74.08,469.8,4.936,978-0-07-011682-5
butane~|~n-butane,58.12,531.4,4.687,978-0-07-011682-5
isobutane~|~2-methylpropane,58.12,330.1,5.278,978-0-07-011682-5
diethyl ether,74.12,313.8,5.678,978-0-07-011682-5
ethylacetate~|~ethyl ethanoate,88.11,521.3,5.205,978-0-07-011682-5
pentane~|~n-pentane,72.15,341.1,5.784,978-0-07-011682-5
"neopentane~|~2,2-dimethylpropane",72.15,193.4,6.464,978-0-07-011682-5
benzene,78.11,412.3,5.349,978-0-07-011682-5
cyclohexane,84.16,297.1,6.182,978-0-07-011682-5
hexane~|~n-hexane,86.18,399.3,5.949,978-0-07-011682-5
cl2~|~chlorine,70.9,316.0,4.217,978-0-07-011682-5
fluorine,37.997,112.6,3.357,978-0-07-011682-5
hydrogen bromide,80.91,449.0,3.353,978-0-07-011682-5
hydrogen cyanide,27.025000000000002,569.1,3.63,978-0-07-011682-5
hcl~|~hydrogen chloride~|~hydrochloric acid,36.46,344.7,3.339,978-0-07-011682-5
hydrogen fluoride,20.006,330.0,3.148,978-0-07-011682-5
hydrogen iodide,127.91199999999999,288.7,4.211,978-0-07-011682-5
hydrogen,2.016,59.7,2.827,978-0-07-011682-5
water,18.015,809.1,2.641,978-0-07-011682-5
hydrogen peroxide,34.01499999999999,289.3,4.196,978-0-07-011682-5
hydrogen sulfide,34.08,301.1,3.623,978-0-07-011682-5
mercury,200.59,750.0,2.969,978-0-07-011682-5
mercuric bromide~|~mercury(ii) bromide~|~mercury dibromide,360.4,686.2,5.08,978-0-07-011682-5
mercury dichloride,271.5,750.0,4.55,978-0-07-011682-5
mercuric iodide~|~mercury(ii) iodide~|~mercury diiodide~|~diiodomercury,454.40000000000003,695.6,5.625,978-0-07-011682-5
i2~|~iodine,253.809,474.2,5.16,978-0-07-011682-5
ammonia,17.031000000000002,558.3,2.9,978-0-07-011682-5
nitric oxide~|~nitrogen oxide~|~nitrogen oxide (no),30.006,116.7,3.492,978-0-07-011682-5
nitrosyl chloride,65.46000000000001,395.3,4.112,978-0-07-011682-5
nitrogen,28.014,71.4,3.798,978-0-07-011682-5
nitrous oxide~|~dinitrogen monoxide,44.013,232.4,3.828,978-0-07-011682-5
oxygen,31.999,106.7,3.467,978-0-07-011682-5
phosphine~|~phosphorous trihydride,33.998,251.5,3.981,978-0-07-011682-5
sulfur hexafluoride,146.06,222.1,5.128,978-0-07-011682-5
sulfur dioxide,64.07000000000001,335.4,4.112,978-0-07-011682-5
tetrafluorosilane~|~silicon tetrafluoride,104.07900000000001,171.9,4.88,978-0-07-011682-5
silane,32.117,207.6,4.084,978-0-07-011682-5
"tin(iv) bromide~|~tetrabromostannane~|~stannane, tetrabromo-~|~stannic bromide~|~tin tetrabromide",438.33,563.7,6.388,978-0-07-011682-5
uranium hexafluoride~|~hexafluorouranium~|~uranium fluoride~|~uranium fluoride (uf6),352.019,236.8,5.967,978-0-07-011682-5
"butadiene~|~1,3-butadiene",54.090439999999994,337.6,4.89,10.1007/s10765-022-03096-9
butene~|~1-butene,56.11,319.0,5.2,10.1007/s10765-022-03096-9
butyne~|~1-butyne~|~ethylacetylene,54.090439999999994,343.0,4.85,10.1007/s10765-022-03096-9
pentene~|~1-pentene,70.13289999999999,369.8,5.35,10.1007/s10765-022-03096-9
"2,2-dimethylbutane",86.17536000000001,389.1,5.75,10.1007/s10765-022-03096-9
"2,3-dimethylbutane",86.17536000000001,397.5,5.74,10.1007/s10765-022-03096-9
3-methylpentane,86.17536000000001,401.81,5.75,10.1007/s10765-022-03096-9
undecane~|~n-undecane,156.31,445.75,7.81,10.1007/s10765-022-03096-9
dodecane~|~n-dodecane,170.33,522.592,7.36,10.1007/s10765-022-03096-9
hexadecane~|~n-hexadecane,226.441,810.8,7.77,10.1007/s10765-022-03096-9
methylcyclohexane,98.18606000000001,281.1,5.94,10.1007/s10765-022-03096-9
c22~|~docosane~|~n-docosane,310.601,515.83,10.62,10.1007/s10765-022-03096-9
(z)-2-butene~|~cis-2-butene,56.11,259.0,5.51,10.1007/s10765-022-03096-9
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,126.23922000000002,500.91,6.36,10.1007/s10765-022-03096-9
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,238.027,179.0,6.94,10.1007/s10765-022-03096-9
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,288.034,195.0,7.36,10.1007/s10765-022-03096-9
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,338.04200000000003,160.0,8.05,10.1007/s10765-022-03096-9
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,195.91,314.8,4.93,10.1007/s10765-022-03096-9
chlorobenzene~|~monochlorobenzene,112.557,502.1,5.47,10.1007/s10765-022-03096-9
cyclobutene,54.090439999999994,355.8,4.68,10.1007/s10765-022-03096-9
cyclopentane,70.13,406.33,5.18,10.1007/s10765-022-03096-9
deuterium,4.0280000000000005,39.3,2.95,10.1007/s10765-022-03096-9
water-d2~|~heavywater~|~deuterium oxide,20.028000000000002,809.1,2.64,10.1007/s10765-022-03096-9
d4~|~octamethylcyclotetrasiloxane,296.60999999999996,465.7,7.98,10.1007/s10765-022-03096-9
d5~|~decamethylcyclopentasiloxane,370.77,491.0,8.64,10.1007/s10765-022-03096-9
d6~|~dodecamethylcyclohexasiloxane,444.91999999999996,512.8,9.45,10.1007/s10765-022-03096-9
"dea~|~diethanolamine~|~2,2'-diethanolamine",105.1356,584.85,5.43,10.1007/s10765-022-03096-9
decane~|~n-decane,142.28,490.51,6.86,10.1007/s10765-022-03096-9
