Clapeyron Database File,,,,,
GCES Like Parameters,,,,,
species,A,B,C,D,source
-CH3,-0.022767,-0.271017,0.631023,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH2−,0.023790,-0.000372,-0.000737,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
H3C−CH3,-0.171653,-0.395063,1.884401,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
CH4,0.083389,-0.525218,1.144751,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH<,0.073479,0.268006,-0.715219,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
>C<,0.137522,0.432011,-1.603643,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH2−(C5),-0.023861,-0.125883,0.233695,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH<(C5),1.569517,0.030302,-2.415547,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH2−(C6),0.021505,-0.098933,0.171388,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH<(C6),0.081725,-0.001426,-0.962725,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
H2C=,0.118742,-0.212624,0.603502,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−HC=,-0.149712,-0.100910,-0.053894,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
>C=,-0.040429,0.281085,-0.591450,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH=O,0.108913,-0.536623,-0.229006,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−CH−(aromatic),0.020046,-0.083404,0.208123,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
>C−(aromatic),0.152283,0.115018,-0.756362,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
HCOO−,0.139924,-0.390715,0.141069,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−COO−,-0.047422,-0.094117,-0.217276,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−O−CH3,0.013269,0.037753,0.077359,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−O−CH2−,-0.279392,-0.455717,0.458677,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−O−,-0.900976,0.253726,1.716688,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
>C=O,-0.209035,0.052247,0.226533,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−OH,0.095944,0.227526,1.182451,0.0038,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
CH3OH,-0.558730,-0.434812,0.894255,0.0038,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
−NH2,0.260570,-0.062493,0.661768,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
>NH,0.185228,0.238233,0.393120,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
CO2,-0.577272,-0.515448,1.671248,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
H2O,-0.392458,-0.120720,2.717849,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
HC≡CH,-0.088542,-0.666847,-0.673819,0,https://pubs.acs.org/doi/suppl/10.1021/acs.iecr.9b04289/suppl_file/ie9b04289_si_001.pdf
