groups,A_alpha,B_alpha,C_alpha,D_alpha,ref,ref_id
"CH4",-0.0015097,-0.10346,-0.017662,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH3_eth",-0.0053556,-0.15252,-0.110450,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH3",-0.0086878,-0.17951,-0.122359,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH2",-0.0009194,-0.13316,-0.042657,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH",0.0128159,-0.03416,0.055752,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"C",0.1525629,1.23998,0.138406,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH2=",-0.0063736,4.24367,-0.108726,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH=",-0.0050637,-4.35678,-0.054247,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"aCH",-0.0047664,-0.16842,-0.065606,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"aC",0.014428,0.01104,-0.000699,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH=O",0.0088675,-0.14782,-0.091325,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"COO",-0.0003295,-0.11893,0.069576,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"OCH3",-0.0046001,-0.16433,-0.053118,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"OCH2",-0.0055435,-0.22345,-0.099967,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"C=O",-0.0022137,-0.14362,0.010417,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"cCH2_pent",-0.0038105,-0.1628,-0.067905,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"cCH2_hex",-0.0037896,-0.14796,-0.045017,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"NH2",-0.0044048,-0.06089,-0.089017,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"NH",0.0173783,-0.02465,-0.115122,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"CH3OH",-0.0118859,-0.01253,0.134714,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"OH",-0.0157583,-0.25654,-0.231537,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
"H2O",-0.0147515,-0.18512,-0.290646,-0.01245,"Loetgering-Lin et al. (2015)",10.1021/acs.iecr.5b01698
