Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
"butadiene~|~1,3-butadiene",54.089999999999996,8.222461e-7,1.629621e-8,5.240699e-11,-8.98407e-14,4.894235e-17,10.1021/acs.jced.4c00451
butene~|~1-butene,56.11,6.394479e-7,1.624396e-8,4.574641e-11,-8.144814e-14,4.496279e-17,10.1021/acs.jced.4c00451
butyne~|~1-butyne~|~ethylacetylene,54.089999999999996,8.114925e-7,1.689439e-8,4.97888e-11,-8.282277e-14,4.304455e-17,10.1021/acs.jced.4c00451
pentene~|~1-pentene,70.133,6.648962e-7,1.585871e-8,3.330717e-11,-4.724397e-14,1.841958e-17,10.1021/acs.jced.4c00451
"2,2-dimethylbutane",86.175,5.583564e-7,1.664763e-8,2.759903e-11,-3.926556e-14,1.649894e-17,10.1021/acs.jced.4c00451
"2,3-dimethylbutane",86.175,6.821629e-7,1.5362e-8,3.089816e-11,-4.326872e-14,1.839946e-17,10.1021/acs.jced.4c00451
3-methylpentane,86.175,6.921448e-7,1.513217e-8,3.064879e-11,-4.251449e-14,1.795083e-17,10.1021/acs.jced.4c00451
acetone~|~propanone,58.08,1.081105e-6,1.558861e-8,2.926342e-11,-3.232202e-14,1.120063e-17,10.1021/acs.jced.4c00451
ethine~|~ethyne~|~acetylene,26.04,7.71953e-7,1.940119e-8,9.390401e-11,-2.249943e-13,1.739781e-16,10.1021/acs.jced.4c00451
ammonia,17.031000000000002,4.437514e-6,-8.501736e-9,1.357689e-10,-1.666322e-13,7.101944e-17,10.1021/acs.jced.4c00451
argon,39.9,1.962214e-8,8.871325e-8,-5.118659e-11,2.190916e-14,-3.777852e-18,10.1021/acs.jced.4c00451
benzene,78.11,-7.36238e-8,2.675209e-8,-4.822048e-12,4.323599e-15,-1.208165e-18,10.1021/acs.jced.4c00451
butane~|~n-butane,58.12,-1.686378e-7,2.654261e-8,-3.906016e-12,2.284883e-16,5.817852e-19,10.1021/acs.jced.4c00451
undecane~|~n-undecane,156.31,3.138821e-7,1.226556e-8,1.396447e-11,-1.768796e-14,6.454408e-18,10.1021/acs.jced.4c00451
dodecane~|~n-dodecane,170.33,-3.171926e-7,1.524248e-8,2.319222e-12,-2.116412e-15,6.454627e-19,10.1021/acs.jced.4c00451
hexadecane~|~n-hexadecane,226.441,8.227932e-7,5.668678e-9,2.438801e-11,-2.963409e-14,1.183181e-17,10.1021/acs.jced.4c00451
methylcyclohexane,98.18599999999999,8.139676e-7,1.455851e-8,2.796335e-11,-3.398644e-14,1.237505e-17,10.1021/acs.jced.4c00451
c22~|~docosane~|~n-docosane,310.601,3.575888e-7,7.913882e-9,1.0706e-11,-1.177506e-14,3.893011e-18,10.1021/acs.jced.4c00451
(z)-2-butene~|~cis-2-butene,56.11,4.282663e-7,1.738017e-8,4.83009e-11,-1.046389e-13,6.818021e-17,10.1021/acs.jced.4c00451
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,126.23899999999999,8.259977e-7,1.285104e-8,2.350263e-11,-2.620611e-14,8.886673e-18,10.1021/acs.jced.4c00451
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,238.027,-8.667132e-7,4.783817e-8,-9.761018e-12,-4.451072e-14,4.817807e-17,10.1021/acs.jced.4c00451
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,288.034,-2.755959e-7,3.740121e-8,2.448907e-11,-9.798087e-14,7.876032e-17,10.1021/acs.jced.4c00451
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,338.04200000000003,-1.098926e-6,5.014867e-8,-3.822118e-11,1.183862e-14,9.293684e-18,10.1021/acs.jced.4c00451
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,195.91,1.483781e-6,2.905876e-8,1.088742e-10,-2.024809e-13,1.213474e-16,10.1021/acs.jced.4c00451
cl2~|~chlorine,70.9,8.40255e-7,2.904306e-8,9.689694e-11,-2.161056e-13,1.491274e-16,10.1021/acs.jced.4c00451
chlorobenzene~|~monochlorobenzene,112.557,1.072299e-6,1.443049e-8,3.09973e-11,-3.579119e-14,1.315245e-17,10.1021/acs.jced.4c00451
methanal~|~formaldehyde,30.026,-9.905934e-7,8.611658e-8,-1.021519e-10,9.023819e-14,-2.970204e-17,10.1021/acs.jced.4c00451
carbon dioxide,44.009,-1.484764e-6,6.274267e-8,-2.85092e-11,9.864163e-15,-1.425519e-18,10.1021/acs.jced.4c00451
carbonyl sulfide,60.08,1.056771e-6,2.629911e-8,6.781253e-11,-1.138189e-13,5.870696e-17,10.1021/acs.jced.4c00451
cyclobutene,54.089999999999996,8.813365e-7,1.787781e-8,5.018066e-11,-8.025035e-14,3.996107e-17,10.1021/acs.jced.4c00451
cyclohexane,84.16,3.304944e-6,-1.752339e-10,6.321575e-11,-8.033875e-14,3.537918e-17,10.1021/acs.jced.4c00451
cyclopentane,70.13,8.916635e-7,1.506452e-8,3.930595e-11,-5.5909e-14,2.522132e-17,10.1021/acs.jced.4c00451
cyclopropane,42.081,6.588206e-7,1.900336e-8,5.212465e-11,-9.573195e-14,5.476493e-17,10.1021/acs.jced.4c00451
deuterium,4.0280000000000005,6.383302e-7,5.790533e-8,-8.357608e-11,9.479853e-14,-4.130641e-17,10.1021/acs.jced.4c00451
water-d2~|~heavywater~|~deuterium oxide,20.028000000000002,1.044004e-5,-4.597303e-8,2.087619e-10,-2.163405e-13,8.275701e-17,10.1021/acs.jced.4c00451
d4~|~octamethylcyclotetrasiloxane,296.60999999999996,8.975606e-7,1.172474e-8,3.010339e-11,-3.791887e-14,1.54263e-17,10.1021/acs.jced.4c00451
d5~|~decamethylcyclopentasiloxane,370.77,8.204178e-7,1.142921e-8,2.470554e-11,-2.902464e-14,1.079311e-17,10.1021/acs.jced.4c00451
d6~|~dodecamethylcyclohexasiloxane,444.91999999999996,7.976737e-7,9.969938e-9,2.209134e-11,-2.512579e-14,9.163069e-18,10.1021/acs.jced.4c00451
"dea~|~diethanolamine~|~2,2'-diethanolamine",105.136,9.219983e-7,1.019534e-8,1.96137e-11,-1.952252e-14,6.217492e-18,10.1021/acs.jced.4c00451
decane~|~n-decane,142.28,9.465069e-8,1.783146e-8,-1.857716e-12,1.095452e-15,-3.044326e-19,10.1021/acs.jced.4c00451
diethyl ether,74.12,7.972655e-7,1.362342e-8,4.233877e-11,-6.678342e-14,3.385435e-17,10.1021/acs.jced.4c00451
