substance,Mw/(kg/mol),m0/(Pa*s),m1/(Pa*s*K⁻¹),m2/(Pa*s*K⁻²),m3/(Pa*s*K⁻³),m4/(Pa*s*K⁻⁴),ref,ref_id
"1,3-butadiene|13butadiene",0.054090,8.222461e-07,1.629621e-08,5.240699e-11,-8.984070e-14,4.894235e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-butene|but-1-ene|1butene",0.056110,6.394479e-07,1.624396e-08,4.574641e-11,-8.144814e-14,4.496279e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-butyne|1butyne",0.054090,8.114925e-07,1.689439e-08,4.978880e-11,-8.282277e-14,4.304455e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-pentene|pent-1-ene|1pentene",0.070133,6.648962e-07,1.585871e-08,3.330717e-11,-4.724397e-14,1.841958e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2,2-dimethylbutane|22dimethylbutane",0.086175,5.583564e-07,1.664763e-08,2.759903e-11,-3.926556e-14,1.649894e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2,3-dimethylbutane|23dimethylbutane",0.086175,6.821629e-07,1.536200e-08,3.089816e-11,-4.326872e-14,1.839946e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"3-methylpentane|3methylpentane",0.086175,6.921448e-07,1.513217e-08,3.064879e-11,-4.251449e-14,1.795083e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2-propanone|acetone",0.058080,1.081105e-06,1.558861e-08,2.926342e-11,-3.232202e-14,1.120063e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethyne|acetylene",0.026040,7.719530e-07,1.940119e-08,9.390401e-11,-2.249943e-13,1.739781e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"azane|ammonia",0.017031,4.437514e-06,-8.501736e-09,1.357689e-10,-1.666322e-13,7.101944e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"argon",0.039900,1.962214e-08,8.871325e-08,-5.118659e-11,2.190916e-14,-3.777852e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"benzol|benzene",0.078110,-7.362380e-08,2.675209e-08,-4.822048e-12,4.323599e-15,-1.208165e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-butane|r600|butane",0.058120,-1.686378e-07,2.654261e-08,-3.906016e-12,2.284883e-16,5.817852e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"undecane|n-undecane|c11",0.156310,3.138821e-07,1.226556e-08,1.396447e-11,-1.768796e-14,6.454408e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dodecane|n-dodecane|c12",0.170330,-3.171926e-07,1.524248e-08,2.319222e-12,-2.116412e-15,6.454627e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hexadecane|n-hexadecane|c16",0.226441,8.227932e-07,5.668678e-09,2.438801e-11,-2.963409e-14,1.183181e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methylcyclohexane|hexahydrotoluene|c1cc6",0.098186,8.139676e-07,1.455851e-08,2.796335e-11,-3.398644e-14,1.237505e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"docosane|n-docosane|c22",0.310601,3.575888e-07,7.913882e-09,1.070600e-11,-1.177506e-14,3.893011e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cis-2-butene|c2butene",0.056110,4.282663e-07,1.738017e-08,4.830090e-11,-1.046389e-13,6.818021e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"propylcyclohexane|c3cc6",0.126239,8.259977e-07,1.285104e-08,2.350263e-11,-2.620611e-14,8.886673e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"perflubutane|decafluorobutane|perfluorobutane|c4f10",0.238027,-8.667132e-07,4.783817e-08,-9.761018e-12,-4.451072e-14,4.817807e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dodecafluoropentane|perfluoropentane|perflenapent |c5f12",0.288034,-2.755959e-07,3.740121e-08,2.448907e-11,-9.798087e-14,7.876032e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"perfluorohexane|perflexane |c6f14",0.338042,-1.098926e-06,5.014867e-08,-3.822118e-11,1.183862e-14,9.293684e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"trifluoromethyl iodide|trifluoroiodomethane|r13t1|cf3i",0.195910,1.483781e-06,2.905876e-08,1.088742e-10,-2.024809e-13,1.213474e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chlorine",0.070900,8.402550e-07,2.904306e-08,9.689694e-11,-2.161056e-13,1.491274e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chlorobenzene",0.112557,1.072299e-06,1.443049e-08,3.099730e-11,-3.579119e-14,1.315245e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"formaldehyde|formalin|methanal|paraformaldehyde|co",0.030026,-9.905934e-07,8.611658e-08,-1.021519e-10,9.023819e-14,-2.970204e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"carbon dioxide|carbonic anhydride|dry ice|co2",0.044009,-1.484764e-06,6.274267e-08,-2.850920e-11,9.864163e-15,-1.425519e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"carbonyl sulfide|carbon oxysulfide|carbonyl sulphide|carbon oxide sulfide|cos",0.060080,1.056771e-06,2.629911e-08,6.781253e-11,-1.138189e-13,5.870696e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cyclobutene",0.054090,8.813365e-07,1.787781e-08,5.018066e-11,-8.025035e-14,3.996107e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cyclohexane|cyclohex",0.084160,3.304944e-06,-1.752339e-10,6.321575e-11,-8.033875e-14,3.537918e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cyclopentane|cyclopen",0.070130,8.916635e-07,1.506452e-08,3.930595e-11,-5.590900e-14,2.522132e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cyclopropane|trimethylene|cyclopro",0.042081,6.588206e-07,1.900336e-08,5.212465e-11,-9.573195e-14,5.476493e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"deuterium|dideuterium|d2",0.004028,6.383302e-07,5.790533e-08,-8.357608e-11,9.479853e-14,-4.130641e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"deuterium oxide|d2o",0.020028,1.044004e-05,-4.597303e-08,2.087619e-10,-2.163405e-13,8.275701e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"octamethylcyclotetrasiloxane|d4",0.296610,8.975606e-07,1.172474e-08,3.010339e-11,-3.791887e-14,1.542630e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"decamethylcyclopentasiloxane|d5",0.370770,8.204178e-07,1.142921e-08,2.470554e-11,-2.902464e-14,1.079311e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dodecamethylcyclohexasiloxane|d6",0.444920,7.976737e-07,9.969938e-09,2.209134e-11,-2.512579e-14,9.163069e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"diethanolamine|diolamine|dea",0.105136,9.219983e-07,1.019534e-08,1.961370e-11,-1.952252e-14,6.217492e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"decane",0.142280,9.465069e-08,1.783146e-08,-1.857716e-12,1.095452e-15,-3.044326e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"diethyl ether|ether|ethyl ether|ethoxyethane|dee",0.074120,7.972655e-07,1.362342e-08,4.233877e-11,-6.678342e-14,3.385435e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dimethyl carbonate|dmc",0.090080,1.166914e-06,1.636800e-08,4.336846e-11,-5.735384e-14,2.441692e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dimethyl ether|methoxymethane|methyl ether|dme",0.046070,8.012193e-06,-3.025205e-08,1.709708e-10,-2.384361e-13,1.611183e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethylbenzene|ebenzene",0.106160,1.033577e-05,-6.410024e-08,2.613487e-10,-3.473520e-13,1.689000e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethylene glycol|ethane-1,2-diol|eglycol",0.062068,1.347397e-06,1.608965e-08,3.005159e-11,-3.041689e-14,9.764323e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethane",0.030070,-8.210732e-22,3.165009e-08,7.040207e-26,-8.075719e-15,5.315773e-32,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethyl alcohol|ethanol",0.046070,-1.031160e-06,3.483790e-08,-6.502640e-12,3.430961e-28,-8.893657e-32,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethene|acetene|elayl|olefiant gas|ethylene",0.028050,-1.744669e-05,3.025179e-07,-1.456058e-09,3.360156e-12,-2.809930e-15,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"oxirane|ethylene oxide|ethyleneoxide",0.044050,1.031162e-06,1.926921e-08,5.406353e-11,-8.369083e-14,4.096235e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"fluorine",0.037997,2.230667e-07,6.997172e-08,2.035386e-10,-1.028663e-12,1.370159e-15,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hydrogen sulfide|sulfane|hydrosulfuric acid|dihydrogen monosulfide|stink damp|hydrogen sulphide|dihydrogen sulfide|sulfureted hydrogen|h2s",0.034080,6.117670e-07,3.150717e-08,4.129875e-11,-5.672102e-14,2.537227e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hydrochloric acid|hydrogen chloride|hcl",0.036460,-3.521145e-08,4.526383e-08,4.053319e-11,-9.849176e-14,5.831745e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"helium",0.004003,2.779480e-06,6.725396e-08,-4.073596e-11,2.091555e-14,-4.153814e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-heptane|heptane",0.100200,1.208183e-06,1.000727e-08,2.803745e-11,-3.520778e-14,1.533348e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-hexane|hexane",0.086180,-2.744465e-07,2.269504e-08,-1.797771e-12,-2.234172e-15,1.640255e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hydrogen",0.002016,4.687357e-07,3.996860e-08,-5.275629e-11,5.429131e-14,-2.134334e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"isobutylene|isobutene|2-methylprop-1-ene|2-methylpropene|ibutene",0.056110,8.605774e-07,1.696199e-08,3.340335e-11,-4.268136e-14,1.593332e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2-methylpentane|isohexane|ihexane",0.086180,6.687101e-07,1.508132e-08,3.049451e-11,-4.286629e-14,1.828287e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2,2,4-trimethylpentane|isooctane|ioctane",0.114229,9.637802e-07,1.323349e-08,1.683085e-11,-1.446543e-14,3.674661e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"isopentane|2-methylbutane|ipentane",0.072150,6.694866e-07,1.496306e-08,3.569751e-11,-5.420363e-14,2.484180e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"isobutane|2-methylpropane|isobutan",0.058120,-2.581768e-07,2.808468e-08,-6.999111e-12,6.551607e-16,1.082216e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"krypton",0.083800,-1.914019e-06,1.079144e-07,-6.006266e-11,1.046666e-14,9.624444e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"decamethyltetrasiloxane|md2m",0.310680,7.475400e-07,1.119410e-08,2.382250e-11,-2.857078e-14,1.071243e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dodecamethylpentasiloxane|md3m",0.384840,7.186099e-07,1.077883e-08,2.064158e-11,-2.327126e-14,8.062772e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"tetradecamethylhexasiloxane|md4m",0.458990,7.081478e-07,9.953434e-09,1.894918e-11,-2.073743e-14,7.045575e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"octamethyltrisiloxane|mdm",0.236530,7.516350e-07,1.210899e-08,2.689911e-11,-3.410763e-14,1.347200e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"ethanolamine|2-aminoethanol|monoethanolamine|mea",0.061083,1.112063e-06,1.337987e-08,2.847351e-11,-3.112770e-14,1.090405e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl hydride|methane",0.016043,-5.186945e-08,4.009096e-08,-2.253988e-13,-4.119887e-14,3.368023e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl alcohol|methanol",0.032042,1.005615e-06,2.464405e-08,1.759647e-11,-8.943954e-15,-2.966040e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"*|milprf23699",NaN,5.489571e-07,5.820395e-09,7.221304e-12,-5.489951e-15,1.278347e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl linoleate|mlinolea",0.294500,7.937025e-07,9.065360e-09,1.437282e-11,-1.302983e-14,3.722342e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl linolenate|mlinolen",0.292500,8.059239e-07,9.462064e-09,1.560220e-11,-1.462899e-14,4.321699e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hexamethyldisiloxane|mm",0.162380,6.489577e-07,1.303627e-08,3.713322e-11,-5.987369e-14,3.045015e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl oleate|moleate",0.296500,8.003866e-07,9.164020e-09,1.510337e-11,-1.400104e-14,4.096822e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl palmitate|methyl hexadecanoate|mpalmita",0.270500,7.981074e-07,9.549344e-09,1.611903e-11,-1.543569e-14,4.654074e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl stearate|mstearat",0.298500,7.956280e-07,9.040872e-09,1.525198e-11,-1.427199e-14,4.220736e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"m-xylene|mxylene",0.106160,7.014761e-06,-3.265414e-08,1.547145e-10,-1.930311e-13,8.805871e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"nitrous oxide|laughing gas|dinitrogen oxide|dinitrogen monoxide|factitious air|nitrogen protoxide|nitrogen oxide (n2o)|n2o",0.044013,-8.425690e-08,4.481856e-08,4.959763e-11,-1.367593e-13,9.477411e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"neon",0.020180,-1.073809e-07,1.683298e-07,-3.053021e-10,3.922908e-13,-1.971639e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"neopentane|2,2-dimethylpropane|neopentn",0.072150,-3.046709e-07,2.352418e-08,1.170511e-11,-3.819993e-14,2.494823e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"nitrogen trifluoride|trifluoroamine|nitrogen fluoride|trifluoroammonia|nf3",0.071019,-1.706667e-05,2.426827e-07,-6.236505e-10,6.860606e-13,-1.616162e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"nitrogen",0.028014,6.311805e-07,6.860736e-08,-4.483579e-11,2.090245e-14,-3.783382e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-nonane|nonane",0.128250,7.434123e-08,1.845098e-08,-1.827300e-12,1.195641e-15,-3.694364e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"3-pentanone, 1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-|novec649",0.316044,9.962758e-07,1.892930e-08,5.898730e-11,-9.763801e-14,5.154009e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-octane|octane",0.114230,7.892226e-08,1.939146e-08,-1.723176e-12,1.046177e-15,-2.981141e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"orthohydrogen|orthohyd",0.002016,4.667537e-07,3.999143e-08,-5.283435e-11,5.439372e-14,-2.138886e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"oxygen",0.031999,2.460216e-07,8.064382e-08,-5.066000e-11,2.295820e-14,-4.100096e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"o-xylene|1,2-dimethylbenzene|1,2-xylene|oxylene",0.106160,6.094705e-06,-2.432058e-08,1.281111e-10,-1.560107e-13,6.928275e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"parahydrogen|parahyd",0.002016,4.667537e-07,3.999143e-08,-5.283435e-11,5.439372e-14,-2.138886e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
