Clapeyron Database File,,,,,,,
RefpropRES2025_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
"butadiene~|~1,3-butadiene",1.0,0.258856,-0.078886,0.017208,0.0,10.1021/acs.jced.4c00451
butene~|~1-butene,1.0,0.430921,-0.203191,0.047206,0.0,10.1021/acs.jced.4c00451
butyne~|~1-butyne~|~ethylacetylene,0.9723,0.305935,-0.128391,0.028658,0.0,10.1021/acs.jced.4c00451
pentene~|~1-pentene,0.9938,0.305935,-0.128391,0.028658,0.0,10.1021/acs.jced.4c00451
"2,2-dimethylbutane",1.0,0.644029,-0.388594,0.104904,0.0,10.1021/acs.jced.4c00451
"2,3-dimethylbutane",1.0,0.328817,-0.118197,0.023611,0.0,10.1021/acs.jced.4c00451
3-methylpentane,1.0,0.516076,-0.282909,0.0711,0.0,10.1021/acs.jced.4c00451
acetone~|~propanone,1.0,0.442736,-0.224432,0.054166,0.0,10.1021/acs.jced.4c00451
ethine~|~ethyne~|~acetylene,0.9977,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
ammonia,1.0,0.238911,-0.07776,0.017714,0.0,10.1021/acs.jced.4c00451
argon,1.0,0.441631,-0.198307,0.064599,0.0,10.1021/acs.jced.4c00451
benzene,1.0,0.252163,-0.043119,0.000423,0.0,10.1021/acs.jced.4c00451
butane~|~n-butane,1.0,0.369686,-0.148651,0.032041,0.0,10.1021/acs.jced.4c00451
undecane~|~n-undecane,1.0,0.298732,-0.119667,0.024296,0.0,10.1021/acs.jced.4c00451
dodecane~|~n-dodecane,1.0,0.26995,-0.10285,0.020241,0.0,10.1021/acs.jced.4c00451
hexadecane~|~n-hexadecane,1.0,0.236788,-0.085333,0.015984,0.0,10.1021/acs.jced.4c00451
methylcyclohexane,1.0,0.418776,-0.188387,0.044392,0.0,10.1021/acs.jced.4c00451
c22~|~docosane~|~n-docosane,1.0,0.191955,-0.062655,0.01086,0.0,10.1021/acs.jced.4c00451
(z)-2-butene~|~cis-2-butene,1.0,0.512632,-0.272262,0.067693,0.0,10.1021/acs.jced.4c00451
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,1.1154,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,1.0628,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,1.0,0.409441,-0.185661,0.04174,0.0,10.1021/acs.jced.4c00451
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,1.0,0.443823,-0.211872,0.048157,0.0,10.1021/acs.jced.4c00451
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,1.0,0.697509,-0.480812,0.145142,0.0,10.1021/acs.jced.4c00451
cl2~|~chlorine,0.8866,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
chlorobenzene~|~monochlorobenzene,1.0,0.323888,-0.130118,0.028328,0.0,10.1021/acs.jced.4c00451
methanal~|~formaldehyde,1.0,0.363576,-0.074938,0.005159,0.0,10.1021/acs.jced.4c00451
carbon dioxide,1.0,0.2335,0.007837,-0.023471,0.0,10.1021/acs.jced.4c00451
carbonyl sulfide,0.9325,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
cyclobutene,0.9789,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
cyclohexane,1.0,0.741397,-0.472354,0.132227,0.0,10.1021/acs.jced.4c00451
cyclopentane,1.0,0.41325,-0.175764,0.040135,0.0,10.1021/acs.jced.4c00451
cyclopropane,0.9517,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
deuterium,1.0,0.396609,-0.510562,0.40281,0.0,10.1021/acs.jced.4c00451
water-d2~|~heavywater~|~deuterium oxide,1.0,0.280658,-0.182178,0.056524,0.0,10.1021/acs.jced.4c00451
d4~|~octamethylcyclotetrasiloxane,1.0,0.3353,-0.131842,0.026054,0.0,10.1021/acs.jced.4c00451
d5~|~decamethylcyclopentasiloxane,1.0,0.33123,-0.124703,0.023571,0.0,10.1021/acs.jced.4c00451
d6~|~dodecamethylcyclohexasiloxane,1.0959,0.286312,-0.11109,0.022642,0.0,10.1021/acs.jced.4c00451
"dea~|~diethanolamine~|~2,2'-diethanolamine",1.0,0.365242,-0.196452,0.04811,0.0,10.1021/acs.jced.4c00451
decane~|~n-decane,1.0,0.306021,-0.125138,0.02603,0.0,10.1021/acs.jced.4c00451
diethyl ether,1.0,0.319833,-0.124679,0.025516,0.0,10.1021/acs.jced.4c00451
dimethyl carbonate~|~carbonic acid dimethyl ester,1.0,0.322188,-0.139703,0.031902,0.0,10.1021/acs.jced.4c00451
dimethyl ether,1.0,0.357695,-0.15162,0.03393,0.0,10.1021/acs.jced.4c00451
ethylbenzene,1.0,0.371309,-0.168943,0.038494,0.0,10.1021/acs.jced.4c00451
"glycol~|~1,2-ethanediol~|~ethylene glycol",1.0,0.422328,-0.22843,0.056447,0.0,10.1021/acs.jced.4c00451
ethane,1.0,0.404667,-0.168529,0.0384,0.0,10.1021/acs.jced.4c00451
ethanol,1.0,0.292038,-0.160178,0.043583,0.0,10.1021/acs.jced.4c00451
ethene~|~ethylene~|~1-ethylene,1.0,0.391366,-0.159554,0.036436,0.0,10.1021/acs.jced.4c00451
oxirane~|~ethyleneoxide,1.0,0.599879,-0.367331,0.099849,0.0,10.1021/acs.jced.4c00451
fluorine,1.0,0.453053,-0.206686,0.053423,0.0,10.1021/acs.jced.4c00451
hydrogen sulfide,1.0,0.225851,-0.00749,-0.007898,0.0,10.1021/acs.jced.4c00451
hcl~|~hydrogen chloride~|~hydrochloric acid,1.0,0.028574,0.241739,-0.097719,0.0,10.1021/acs.jced.4c00451
helium~|~helium-4,1.2661,1.297005,-3.104217,2.257168,0.0,10.1021/acs.jced.4c00451
heptane~|~n-heptane,1.0,0.321695,-0.130973,0.027822,0.0,10.1021/acs.jced.4c00451
hexane~|~n-hexane,1.0,0.355662,-0.151115,0.032927,0.0,10.1021/acs.jced.4c00451
hydrogen,1.0,2.272439,-6.277765,4.310689,0.0,10.1021/acs.jced.4c00451
isobutene~|~isobutylene~|~2-methylpropene,1.0,0.406355,-0.188449,0.045383,0.0,10.1021/acs.jced.4c00451
isohexane~|~2-methylpentane,1.0,0.368669,-0.158143,0.034655,0.0,10.1021/acs.jced.4c00451
"isooctane~|~2,2,4-trimethylpentane",1.0,0.416715,-0.191216,0.043679,0.0,10.1021/acs.jced.4c00451
isopentane~|~methylbutane~|~2-methylbutane,1.0,0.391104,-0.168977,0.038118,0.0,10.1021/acs.jced.4c00451
isobutane~|~2-methylpropane,1.0,0.443856,-0.203979,0.048521,0.0,10.1021/acs.jced.4c00451
krypton,1.0,0.574447,-0.432866,0.18256,0.0,10.1021/acs.jced.4c00451
md2m~|~decamethyltetrasiloxane,1.0013,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
md3m~|~dodecamethylpentasiloxane,1.0947,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
md4m~|~tetradecamethylhexasiloxane,1.1733,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
mdm~|~octamethyltrisiloxane,1.0,0.272782,-0.094278,0.01691,0.0,10.1021/acs.jced.4c00451
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,1.0,0.394192,-0.200601,0.048884,0.0,10.1021/acs.jced.4c00451
methane,1.0,0.436026,-0.208491,0.062506,0.0,10.1021/acs.jced.4c00451
