Clapeyron Database File,,,,,,,,,,,
RefpropRES_thermal_conductivity Like Parameters,,,,,,,,,,,
species,ξ,n1,n2,n3,n4,φ0,Γ,qD,Tref,source
carbon dioxide,1.0,1.763756,-2.335416,2.966431,-0.378041,1.5e-10,0.052,2.5e9,456.19,10.1021/acs.iecr.1c02154
ammonia,1.0,0.900567,0.092923,2.405172,-0.453455,1.4e-10,0.053,2.5e9,608.34,10.1021/acs.iecr.1c02154
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,0.9398,3.636446,-5.328258,4.543762,-0.643352,2.1e-10,0.057,1.672241e9,594.66,10.1021/acs.iecr.1c02154
hexane~|~n-hexane,1.0,11.95711,-16.71051,9.67878,-1.3581,2.364e-10,0.058,1.356852e9,761.73,10.1021/acs.iecr.1c02154
dimethyl ether,1.0,1.150569,-2.152294,3.352374,-0.583704,1.89e-10,0.057,1.851852e9,600.57,10.1021/acs.iecr.1c02154
isopentane~|~methylbutane~|~2-methylbutane,0.9603,3.636446,-5.328258,4.543762,-0.643352,2.27e-10,0.058,1.506024e9,690.53,10.1021/acs.iecr.1c02154
pentane~|~n-pentane,1.0,8.559778,-9.732189,5.680082,-0.689633,2.27e-10,0.058,1.497006e9,704.55,10.1021/acs.iecr.1c02154
isobutane~|~2-methylpropane,1.0,7.196463,-12.29889,8.211696,-1.249244,1.94e-10,0.0496,1.52045e9,611.73,10.1021/acs.iecr.1c02154
butane~|~n-butane,1.0,9.100215,-14.45912,9.133255,-1.354971,1.94e-10,0.0496,1.142335e9,637.68,10.1021/acs.iecr.1c02154
propane~|~n-propane,1.0,8.2167,-13.0532,8.444621,-1.253928,1.94e-10,0.0496,1.395479e9,554.73,10.1021/acs.iecr.1c02154
ethane,1.0,2.394613,-3.191853,2.957558,-0.190342,1.9e-10,0.0563,1.834862e9,610.66,10.1021/acs.iecr.1c02154
propene~|~propylene,1.0,3.367645,-4.67264,4.672619,-0.8189,1.98e-10,0.057,2.325581e9,546.32,10.1021/acs.iecr.1c02154
ethene~|~ethylene~|~1-ethylene,1.0,0.376136,1.546136,0.062843,0.267046,1.81e-10,0.058,2.040816e9,423.53,10.1021/acs.iecr.1c02154
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",1.0,-2.351211,5.425486,-1.942264,0.591178,1.94e-10,0.0496,1.713796e9,551.775,10.1021/acs.iecr.1c02154
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",1.0,-1.439895,0.317785,2.202817,-0.331856,1.94e-10,0.0496,1.713796e9,573.78,10.1021/acs.iecr.1c02154
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",1.0,-1.511739,5.492849,-2.29797,0.626166,2.21e-10,0.058,1.468429e9,666.75,10.1021/acs.iecr.1c02154
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",1.0,1.32319,-2.803198,3.532045,-0.512081,2.13e-10,0.059,1.672241e9,659.4,10.1021/acs.iecr.1c02154
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",1.0,-8.436949,22.80481,-14.58749,3.320995,2.14e-10,0.058,1.547988e9,643.04,10.1021/acs.iecr.1c02154
r23~|~fluoroform~|~trifluoromethane,1.0,5.269381,-6.789808,5.052312,-0.761283,1.94e-10,0.0496,1.892148e9,618.66,10.1021/acs.iecr.1c02154
r32~|~difluoromethane,1.0,1.031907,0.17832,1.589211,-0.202022,1.94e-10,0.0496,1.791152e9,526.883,10.1021/acs.iecr.1c02154
r125~|~pentafluoroethane,1.0,2.277767,-2.782096,2.979536,-0.354292,1.94e-10,0.0496,1.713796e9,508.748,10.1021/acs.iecr.1c02154
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1.0,1.658814,-1.255594,1.943987,-0.175645,1.94e-10,0.0496,1.892148e9,561.411,10.1021/acs.iecr.1c02154
"r143a~|~1,1,1-trifluoroethane",1.0,-6.004818,12.49536,-6.220483,1.437848,1.93e-10,0.055,4.347826e9,518.79,10.1021/acs.iecr.1c02154
"r152a~|~difluoroethane~|~1,1-difluoroethane",1.0,1.025531,-0.303002,1.578896,-0.157973,1.894e-10,0.0487,2.28833e9,579.617,10.1021/acs.iecr.1c02154
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",1.0,-1.460787,6.192086,-3.669657,1.150156,1.94e-10,0.0496,2.0e9,562.328,10.1021/acs.iecr.1c02154
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",1.0,2.138702,-6.461302,6.416797,-1.143998,2.09e-10,0.06,1.560062e9,597.105,10.1021/acs.iecr.1c02154
"r245fa~|~1,1,1,3,3-pentafluoropropane",1.0,-5.207724,5.991181,-0.640152,0.136517,2.04e-10,0.06,1.597444e9,640.52,10.1021/acs.iecr.1c02154
