substance,ξ,n1,n2,n3,n4,φ0/m,Γ,qD/m,Tref/K,ref,ref_id
"carbon dioxide|carbonic anhydride|dry ice|co2",1.0000,1.763756,-2.335416,2.966431,-0.378041,1.500000e-10,0.052000,2.500000e+09,4.561900e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"azane|ammonia",1.0000,0.900567,0.092923,2.405172,-0.453455,1.400000e-10,0.053000,2.500000e+09,6.083400e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"trifluoromethyl iodide|trifluoroiodomethane|r13t1|cf3i",0.9398,3.636446,-5.328258,4.543762,-0.643352,2.100000e-10,0.057000,1.672241e+09,5.946600e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"n-hexane|hexane",1.0000,11.957110,-16.710510,9.678780,-1.358100,2.364000e-10,0.058000,1.356852e+09,7.617300e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"dimethyl ether|methoxymethane|methyl ether|dme",1.0000,1.150569,-2.152294,3.352374,-0.583704,1.890000e-10,0.057000,1.851852e+09,6.005700e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"isopentane|2-methylbutane|ipentane",0.9603,3.636446,-5.328258,4.543762,-0.643352,2.270000e-10,0.058000,1.506024e+09,6.905300e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"n-pentane|pentane",1.0000,8.559778,-9.732189,5.680082,-0.689633,2.270000e-10,0.058000,1.497006e+09,7.045500e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"isobutane|2-methylpropane|isobutan",1.0000,7.196463,-12.298890,8.211696,-1.249244,1.940000e-10,0.049600,1.520450e+09,6.117300e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"n-butane|butane",1.0000,9.100215,-14.459120,9.133255,-1.354971,1.940000e-10,0.049600,1.142335e+09,6.376800e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"n-propane|dimethylmethane|propane",1.0000,8.216700,-13.053200,8.444621,-1.253928,1.940000e-10,0.049600,1.395479e+09,5.547300e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"ethane",1.0000,2.394613,-3.191853,2.957558,-0.190342,1.900000e-10,0.056300,1.834862e+09,6.106600e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"propylene|propene|prop-1-ene|1-propene|methylethylene|methylethene|propylen",1.0000,3.367645,-4.672640,4.672619,-0.818900,1.980000e-10,0.057000,2.325581e+09,5.463200e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"ethene|acetene|elayl|olefiant gas|r1150|ethylene",1.0000,0.376136,1.546136,0.062843,0.267046,1.810000e-10,0.058000,2.040816e+09,4.235300e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"2,3,3,3-tetrafluoropropene|r1234yf",1.0000,-2.351211,5.425486,-1.942264,0.591178,1.940000e-10,0.049600,1.713796e+09,5.517750e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1,3,3,3-tetrafluoroprop-1-ene|trans-1,3,3,3-tetrafluoropropene|r1234ze(e)|r1234zee",1.0000,-1.439895,0.317785,2.202817,-0.331856,1.940000e-10,0.049600,1.713796e+09,5.737800e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene|r1336mzzz",1.0000,-1.511739,5.492849,-2.297970,0.626166,2.210000e-10,0.058000,1.468429e+09,6.667500e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"trans-1-chloro-3,3,3-trifluoropropene|r1233zd(e)|r1233zde",1.0000,1.323190,-2.803198,3.532045,-0.512081,2.130000e-10,0.059000,1.672241e+09,6.594000e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"cis-1-chloro-2,3,3,3-tetrafluoropropene|r1224yd(z)|r1224ydz",1.0000,-8.436949,22.804810,-14.587490,3.320995,2.140000e-10,0.058000,1.547988e+09,6.430400e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"trifluoromethane|fluoroform|r23",1.0000,5.269381,-6.789808,5.052312,-0.761283,1.940000e-10,0.049600,1.892148e+09,6.186600e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"difluoromethane|r32",1.0000,1.031907,0.178320,1.589211,-0.202022,1.940000e-10,0.049600,1.791152e+09,5.268830e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"pentafluoroethane|r125",1.0000,2.277767,-2.782096,2.979536,-0.354292,1.940000e-10,0.049600,1.713796e+09,5.087480e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1,1,1,2-tetrafluoroethane|r134a",1.0000,1.658814,-1.255594,1.943987,-0.175645,1.940000e-10,0.049600,1.892148e+09,5.614110e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1,1,1-trifluoroethane|r143a",1.0000,-6.004818,12.495360,-6.220483,1.437848,1.930000e-10,0.055000,4.347826e+09,5.187900e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1,1-difluoroethane|difluoroethane|r152a",1.0000,1.025531,-0.303002,1.578896,-0.157973,1.894000e-10,0.048700,2.288330e+09,5.796170e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
