T,p,eta,rho,shortref,DOI,state
294.5,54.817,3.74E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.5,3.35,1.16E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.5,41.935,3.15E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.5,28.137,2.44E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.7,20.797,2E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.7,27.719,2.36E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.7,13.937,1.59E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.7,34.285,2.7E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
294.7,6.867,1.27E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,41.93,3.13E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,6.92,1.25E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,3.384,1.16E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,28.117,2.42E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,13.891,1.6E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,34.703,2.78E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
295.2,6.843,1.28E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
297.4,54.717,3.62E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
297.4,41.587,3.07E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
297.4,48.478,3.4E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
298,6.934,1.29E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
298,3.46,1.2E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.56,27.611,2.08E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.57,20.359,1.87E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.58,34.468,2.28E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.59,6.693,1.52E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.59,13.859,1.68E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.6,56.553,3E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.61,41.3,2.49E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.62,3.463,1.46E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
399.64,48.275,2.72E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
400.24,53.761,2.95E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
400.24,17.344,1.81E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
400.25,10.464,1.62E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
400.25,24.229,2.01E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
401.61,33.912,2.22E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
401.61,20.665,1.84E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.44,6.735,1.72E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.5,56.187,2.7E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.5,41.193,2.4E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.5,48.172,2.53E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.53,34.285,2.24E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.53,27.245,2.08E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.56,20.606,1.97E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.56,13.667,1.84E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
499.58,6.851,1.72E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.05,10.283,1.76E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.14,24.163,2.03E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.14,17.231,1.9E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.25,31.069,2.17E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.25,37.88,2.32E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.39,51.602,2.6E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.39,44.746,2.46E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
500.44,57.653,2.72E-05,,Diller and Frederick (1989),10.1007/BF00500715,G
296.15,0.03013,1.079E-05,,Ishida (1923),10.1103/PhysRev.21.550,G
296.15,0.05773,1.079E-05,,Ishida (1923),10.1103/PhysRev.21.550,G
291.95,0.101,1.112E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
291.95,0.101,1.111E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
296.85,0.101,1.103E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
296.85,0.101,1.103E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
551.15,0.101,1.841E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
551.15,0.101,1.839E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
557.15,0.101,1.813E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
557.15,0.101,1.813E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
653.15,0.101,2.028E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
653.15,0.101,2.022E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
674.15,0.101,2.113E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
674.15,0.101,2.117E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
772.15,0.101,2.265E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
772.15,0.101,2.262E-05,,Trautz and Zink (1930),10.1002/andp.19303990405,G
96.8,0.04053,0.000169,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,0.284,0.00017,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,1.966,0.000173,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,3.85,0.00018,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,5.826,0.00018,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,7.812,0.000191,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
96.8,9.352,0.000188,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,0.132,0.000107,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,2.148,0.00011,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,4.002,0.000112,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,6.059,0.000117,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,7.812,0.000119,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
115.3,10.122,0.000123,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,0.618,6.95E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,1.925,7.12E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,3.942,7.36E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,5.867,7.65E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,7.954,7.88E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
138.7,9.443,8.02E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,1.378,4.88E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,2.513,4.91E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,4.053,5.15E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,6.019,5.21E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,8.096,5.15E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
156.3,9.707,5.33E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
183,3.648,2.7E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
183,5.522,2.84E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
183,7.772,2.99E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
183,9.96,3.07E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,0.0608,0.000133,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,1.925,0.000135,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,4.033,0.000138,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,5.846,0.000141,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,7.944,0.000145,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
106.4,9.545,0.000149,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L
