T,p,eta,rho,shortref,DOI,state,s,eta_s
96.8,0.04053,0.000169,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.04546755082263,51.8711826020024
96.8,0.284,0.00017,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.04806436710695,52.1871892939861
96.8,1.966,0.000173,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.06573083475775,53.1712770634533
96.8,3.85,0.00018,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.08497769258416,55.3948983983648
96.8,5.826,0.00018,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.10458952405584,55.4691043011605
96.8,7.812,0.000191,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.12374625394643,58.9364696463657
96.8,9.352,0.000188,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,4.13824108564961,58.0689823818033
115.3,0.132,0.000107,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.38214398290979,27.8816400506813
115.3,2.148,0.00011,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.40992367991145,28.7155732611053
115.3,4.002,0.000112,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.4343685129335,29.2851500511242
115.3,6.059,0.000117,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.46037719983177,30.6460393846661
115.3,7.812,0.000119,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.48170182057768,31.2151138307915
115.3,10.122,0.000123,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.50872970403372,32.3243630914682
138.7,0.618,6.95E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.6552721317005,15.1501690966347
138.7,1.925,7.12E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.68345882397597,15.5464621957667
138.7,3.942,7.36E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.72398324228365,16.1097753114572
138.7,5.867,7.65E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.75983010882824,16.7817196674924
138.7,7.954,7.88E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.79608692337423,17.3260535233453
138.7,9.443,8.02E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.82052699432628,17.6617702213449
156.3,1.378,4.88E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.14283864913762,9.44784920300443
