T^* delta*=0.00 delta*=0.25 delta*=0.50 delta*=0.75 delta*=1.00 delta*=1.50 delta*=2.00 delta*=2.50
0.1 4.0079 4.002 4.655 5.521 6.454 8.214 9.824 11.31 
0.2 3.1300 3.164 3.355 3.721 4.198 5.230 6.225 7.160 
0.3 2.6494 2.657 2.770 3.002 3.319 4.054 4.785 5.483 
0.4 2.3144 2.320 2.402 2.572 2.812 3.386 3.972 4.539 
0.5 2.0661 2.073 2.140 2.278 2.472 2.946 3.437 3.918 
0.6 1.8767 1.885 1.944 2.060 2.225 2.628 3.054 3.474 
0.7 1.7293 1.738 1.791 1.893 2.036 2.388 2.763 3.137 
0.8 1.6122 1.622 1.670 1.760 1.886 2.198 2.535 2.872 
0.9 1.5175 1.527 1.572 1.653 1.765 2.044 2.349 2.657 
1.0 1.4398 1.450 1.490 1.564 1.665 1.917 2.196 2.478 
1.2 1.3204 1.330 1.364 1.425 1.509 1.720 1.956 2.199 
1.4 1.2336 1.242 1.272 1.324 1.394 1.573 1.777 1.990 
1.6 1.1679 1.176 1.202 1.246 1.306 1.461 1.639 1.827 
1.8 1.1166 1.124 1.146 1.185 1.237 1.372 1.530 1.698 
2.0 1.0753 1.082 1.102 1.135 1.181 1.300 1.441 1.592 
2.5 1.0006 1.005 1.020 1.046 1.080 1.170 1.278 1.397 
3.0 0.95003 0.9538 0.9656 0.9852 1.012 1.082 1.168 1.265 
3.5 0.91311 0.9162 0.9256 0.9413 0.9626 1.019 1.090 1.170 
4.0 0.88453 0.8871 0.8948 0.9076 0.9252 0.9721 1.031 1.098 
5.0 0.84277 0.8446 0.8501 0.8592 0.8716 0.9053 0.9483 0.9984 
6.0 0.81287 0.8142 0.8183 0.8251 0.8344 0.8598 0.8927 0.9316 
7.0 0.78976 0.7908 0.7940 0.7993 0.8066 0.8265 0.8526 0.8836 
8.0 0.77111 0.7720 0.7745 0.7788 0.7846 0.8007 0.8219 0.8474 
9.0 0.75553 0.7562 0.7584 0.7619 0.7667 0.7800 0.7976 0.8189 
10.0 0.74220 0.7428 0.7446 0.7475 0.7515 0.7627 0.7776 0.7957 
12.0 0.72022 0.7206 0.7220 0.7241 0.7271 0.7354 0.7464 0.7600 
14.0 0.70254 0.7029 0.7039 0.7055 0.7078 0.7142 0.7228 0.7334 
16.0 0.68776 0.6880 0.6888 0.6901 0.6919 0.6970 0.7040 0.7125 
18.0 0.67510 0.6753 0.6760 0.6770 0.6785 0.6827 0.6884 0.6955 
20.0 0.66405 0.6642 0.6648 0.6657 0.6669 0.6704 0.6752 0.6811 
25.0 0.64136 0.6415 0.6418 0.6425 0.6433 0.6457 0.6490 0.6531 
30.0 0.62350 0.6236 0.6239 0.6243 0.6249 0.6267 0.6291 0.6321 
35.0 0.60882 0.6089 0.6091 0.6094 0.6099 0.6112 0.6131 0.6154 
40.0 0.59640 0.5964 0.5966 0.5969 0.5972 0.5983 0.5998 0.6017 
50.0 0.57626 0.5763 0.5764 0.5766 0.5768 0.5775 0.5785 0.5798 
75.0 0.54146 0.5415 0.5416 0.5416 0.5418 0.5421 0.5424 0.5429 
100.0 0.51803 0.5181 0.5182 0.5184 0.5184 0.5185 0.5186 0.5187
